os_type,os_days_since_update,firewall_enabled,antivirus_enabled,days_since_av_update,browser_safe_browsing_enabled,browser_autofill_passwords,risky_extension_count,risk_score_0_10,risk_tier
macOS,67.6,1,1,17.5,1,1,1,1.66,Low
Windows,123.3,1,1,24.4,0,0,2,4.35,Medium
Linux,180.1,1,0,11.9,1,1,2,5.6,Medium
macOS,27.5,1,1,12.5,0,0,0,1.97,Low
Windows,78.1,0,1,5.1,1,1,0,4.31,Medium
Linux,25.1,1,1,25.3,1,0,1,1.12,Low
macOS,62.3,1,0,56.3,1,1,1,3.33,Low
macOS,68.5,1,1,43.5,1,0,1,1.27,Low
Windows,158.3,0,1,128.9,1,0,0,6.09,Medium
Windows,249.1,0,1,20.8,1,1,2,6.42,Medium
Windows,113.8,0,0,16.5,0,0,1,9.47,High
Linux,181.1,1,1,85.7,1,1,2,5.17,Medium
macOS,207.2,1,0,157.3,0,0,2,6.99,Medium
macOS,148.0,0,0,78.8,1,1,1,8.51,High
Windows,83.0,1,0,39.4,1,0,0,3.43,Low
Windows,113.7,0,0,50.5,0,1,1,9.97,High
macOS,166.0,1,1,62.2,0,0,2,5.64,Medium
Windows,152.1,0,0,74.3,0,1,0,10.0,High
macOS,26.7,1,1,32.4,1,1,3,2.3,Low
macOS,30.4,0,1,20.2,1,0,2,4.33,Medium
macOS,151.6,1,1,124.6,0,0,1,5.33,Medium
Windows,152.5,1,0,87.8,1,1,2,4.61,Medium
Linux,339.6,0,1,63.9,1,0,5,8.33,High
Linux,22.1,1,1,45.1,1,0,2,2.69,Low
macOS,184.7,1,1,32.7,0,1,1,7.02,High
Windows,81.9,0,0,153.4,1,1,2,7.45,High
Windows,85.5,1,1,22.9,1,0,0,2.23,Low
Windows,150.4,1,1,13.4,1,0,1,3.12,Low
Windows,65.1,0,0,86.8,1,1,5,9.11,High
macOS,32.3,0,1,85.5,1,1,1,4.6,Medium
macOS,177.9,0,1,164.6,1,1,1,7.06,High
Linux,150.0,1,1,127.3,1,0,2,3.94,Low
Windows,77.4,1,1,62.9,1,0,3,2.72,Low
Windows,42.0,0,0,44.2,1,1,2,6.76,Medium
Windows,89.9,0,0,23.3,1,0,0,6.55,Medium
Windows,16.5,0,1,1.5,1,0,2,2.92,Low
Windows,18.9,1,1,2.3,1,0,0,0.68,Low
Windows,285.8,1,0,118.1,0,0,1,6.3,Medium
Windows,127.3,1,0,12.5,1,1,5,6.23,Medium
macOS,85.3,0,1,85.2,0,1,3,7.69,High
Windows,324.0,0,0,149.1,0,1,1,10.0,High
macOS,55.5,1,0,45.5,0,1,2,6.43,Medium
macOS,138.9,1,0,60.4,1,0,4,5.63,Medium
Windows,20.7,1,1,21.9,0,1,0,3.24,Low
macOS,49.8,1,1,109.3,1,0,0,1.42,Low
macOS,212.4,0,0,15.0,0,1,2,10.0,High
Windows,96.8,1,0,21.7,1,1,1,4.44,Medium
Windows,101.7,1,0,54.6,1,0,0,3.47,Low
macOS,83.1,1,1,33.2,1,0,1,1.7,Low
Windows,96.3,1,0,49.5,1,0,0,3.47,Low
Windows,152.1,0,0,99.6,1,1,1,8.9,High
Windows,64.1,1,1,6.4,1,1,0,1.87,Low
macOS,31.8,1,1,41.8,1,0,0,0.77,Low
macOS,178.5,0,0,55.4,0,1,0,10.0,High
macOS,9.3,0,1,31.3,1,1,2,3.29,Low
macOS,55.4,1,1,94.2,1,0,1,2.55,Low
Windows,97.7,0,1,29.3,0,0,2,6.85,Medium
macOS,59.9,0,1,19.1,1,1,0,3.6,Low
Windows,117.5,1,1,76.5,1,0,2,3.07,Low
Windows,62.8,1,0,55.4,1,0,2,2.8,Low
macOS,73.4,1,1,39.4,0,1,2,5.46,Medium
Windows,137.7,1,1,106.3,0,0,2,5.18,Medium
macOS,140.2,0,0,31.2,0,1,1,10.0,High
macOS,91.7,0,1,71.2,0,1,2,8.01,High
macOS,145.5,1,0,24.1,1,1,1,4.35,Medium
macOS,14.5,0,1,29.5,1,0,1,3.01,Low
macOS,20.1,0,1,64.3,1,1,1,3.99,Low
Windows,161.3,0,0,29.8,0,1,0,10.0,High
Windows,44.0,0,1,50.3,1,1,3,5.81,Medium
Windows,67.7,1,1,75.0,1,0,2,2.7,Low
Windows,115.0,1,0,89.5,1,1,2,4.27,Medium
Windows,216.0,0,1,26.2,0,1,4,10.0,High
Linux,75.5,1,1,4.9,1,0,3,1.36,Low
Windows,110.6,0,1,81.4,1,1,1,5.89,Medium
Windows,176.7,1,0,30.8,0,1,2,7.27,High
Windows,175.4,0,0,89.3,1,1,1,9.41,High
Windows,110.3,0,1,59.0,1,1,2,6.08,Medium
